id	jp	en	source	confidence	notes
21006	仲魔詳細	Demon Info	Client/UIInfoData	high	JP↔EN same record ID
23032	倉庫２	Depo 2	Client/UIInfoData	high	JP↔EN same record ID
21025	アンサズ	Ansuz	Client/UIInfoData	high	JP↔EN same record ID
26049	アイテム名６７８９０１２３４５６	Item name６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
37082	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
20048	マッカが不足しています	Not enough Macca	Client/UIInfoData	high	JP↔EN same record ID
37086	＜前	<- Previous	Client/UIInfoData	high	JP↔EN same record ID
37056	コメント５６７８９０１２３４５６	Comment５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
35002	対象キャラクターを右クリック後、&#10;「ブラックリストに登録する」を&#10;選択することで、そのキャラクターを&#10;ブラックリストに登録することができます。	"You can add a player to your Blacklist by right-clicking them and choosing ""Add to Blacklist."""	Client/UIInfoData	high	JP↔EN same record ID
20018	エイワズ	Eihwaz	Client/UIInfoData	high	JP↔EN same record ID
30040	取得する	Acquire	Client/UIInfoData	high	JP↔EN same record ID
52000	リユニオン変換	Confirm Rebirth Conversion	Client/UIInfoData	high	JP↔EN same record ID
21023	ラグズ	Laguz	Client/UIInfoData	high	JP↔EN same record ID
21007	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
43002	通常デジタライズ,特殊デジタライズ	Normal Digitalizations,Special Digitalizations	Client/UIInfoData	high	JP↔EN same record ID
30049	取得する	Acquire	Client/UIInfoData	high	JP↔EN same record ID
31134	物霊合体	Spiritual Infusion	Client/UIInfoData	high	JP↔EN same record ID
37023	自由募集	Free Recruit	Client/UIInfoData	high	JP↔EN same record ID
30020	コンプリート数	Quests Completed	Client/UIInfoData	high	JP↔EN same record ID
37063	コメント５６７８９０１２３４５６	Comment５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
1026	必要触媒個数	Required number of catalysts	Client/UIInfoData	high	JP↔EN same record ID
35021	登録	Add	Client/UIInfoData	high	JP↔EN same record ID
30055	取得する	Acquire	Client/UIInfoData	high	JP↔EN same record ID
30018	コンプリート数	Quests Completed	Client/UIInfoData	high	JP↔EN same record ID
21011	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
17092	ウィアド	Wyrd	Client/UIInfoData	high	JP↔EN same record ID
21042	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
36012	キャラクター名を入力	Enter character's name	Client/UIInfoData	high	JP↔EN same record ID
18032	シーグル	Sowilo	Client/UIInfoData	high	JP↔EN same record ID
28006	青のべテル	Blue Bethel	Client/UIInfoData	high	JP↔EN same record ID
32006	■特性が引き継がれる装備&#10;【継承内容】&#10;　・特性	Characteristics Inheritance&#10; * Characteristics	Client/UIInfoData	high	JP↔EN same record ID
1008	アイテム名	Item name	Client/UIInfoData	high	JP↔EN same record ID
1029	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
31077	トレード	Trade	Client/UIInfoData	high	JP↔EN same record ID
31091	トレードリスト	Trade List	Client/UIInfoData	high	JP↔EN same record ID
17060	アンサズ	Ansuz	Client/UIInfoData	high	JP↔EN same record ID
39010	アイテムを入手する	Get Reward	Client/UIInfoData	high	JP↔EN same record ID
28035	1st：&#10;2nd：&#10;3rd：&#10;4th：&#10;5th：&#10;Affiliation：Mr.Misaguji&#10;獲得カウリ：XXXX	1st：&#10;2nd：&#10;3rd：&#10;4th：&#10;5th：&#10;Affiliation：Mr.Misaguji&#10;Kauri Owned：XXXX	Client/UIInfoData	high	JP↔EN same record ID
20034	ウィアド	Wyrd	Client/UIInfoData	high	JP↔EN same record ID
31073	バザー	Bazaar	Client/UIInfoData	high	JP↔EN same record ID
21021	ハガラズ	Hagalaz	Client/UIInfoData	high	JP↔EN same record ID
23003	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
32002	■ベース装備&#10;【継承内容】&#10;　・外見&#10;　・耐久値/最大耐久値&#10;　・フュージョンゲージストック数&#10;　　（COMPのみ）&#10;　・修理費&#10;　・売却価格&#10;　・トレードの可不可設定&#10;　・外見性能（セットボーナス含む）	Base Equipment Inheritance&#10; * Appearance&#10; * Durability&#10; * Fusion gauge stock number&#10;   (COMP only)&#10; * Repair cost&#10; * Sale price&#10; * Tradeability&#10; * Set Bonus (if any)	Client/UIInfoData	high	JP↔EN same record ID
39017	チャンス拡大アイテムの個数を選択	Select Number of Chance Boosters	Client/UIInfoData	high	JP↔EN same record ID
37005	新規登録	Register	Client/UIInfoData	high	JP↔EN same record ID
36017	内容（必須）	Reason	Client/UIInfoData	high	JP↔EN same record ID
22037	レンタル悪魔倉庫３	Rental Demon Depot 3	Client/UIInfoData	high	JP↔EN same record ID
29012	※一覧ショートカット 【Y】	* List Shortcut: Y	Client/UIInfoData	high	JP↔EN same record ID
28063	現在所属中	Pledged To	Client/UIInfoData	high	JP↔EN same record ID
45037	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
37034	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
17084	シーグル	Sowilo	Client/UIInfoData	high	JP↔EN same record ID
18026	アンサズ	Ansuz	Client/UIInfoData	high	JP↔EN same record ID
31054	修理	Repair	Client/UIInfoData	high	JP↔EN same record ID
35007	登録数	People Registered	Client/UIInfoData	high	JP↔EN same record ID
53013	使用中の倉庫のみ表示	Display only the warehouse in use	Client/UIInfoData	high	JP↔EN same record ID
37088	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
22083	検索	Search	Client/UIInfoData	high	JP↔EN same record ID
26154	アイテム	Inventory	Client/UIInfoData	high	JP↔EN same record ID
25003	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
30002	ＰＣ強化	Player Enhancement	Client/UIInfoData	high	JP↔EN same record ID
39011	キャンセル	Cancel	Client/UIInfoData	high	JP↔EN same record ID
25000	倉庫内アイテム検索	Search Item Depositories	Client/UIInfoData	high	JP↔EN same record ID
16013	参加しない	Decline	Client/UIInfoData	high	JP↔EN same record ID
20008	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
35019	登録したいキャラクター名を入力	Enter the name of who you want to Blacklist	Client/UIInfoData	high	JP↔EN same record ID
42000	デジタライズレベル	Digitalization Levels	Client/UIInfoData	high	JP↔EN same record ID
28021	黄のべテル	Yellow Bethel	Client/UIInfoData	high	JP↔EN same record ID
17020	エオー	Fehu	Client/UIInfoData	high	JP↔EN same record ID
17036	ウルズ	Uruz	Client/UIInfoData	high	JP↔EN same record ID
30019	効果	Effect	Client/UIInfoData	high	JP↔EN same record ID
28016	緑のべテル	Green Bethel	Client/UIInfoData	high	JP↔EN same record ID
22017	悪魔倉庫	Demon Depository	Client/UIInfoData	high	JP↔EN same record ID
34011	成功率	Success rate	Client/UIInfoData	high	JP↔EN same record ID
23067	倉庫７	Depo 7	Client/UIInfoData	high	JP↔EN same record ID
34001	左が合体の結果だ。&#10;&#10;ワシは合体した装備品を分離できんが、&#10;それでもやるか？	This is the result of the Infusion.&#10;&#10;You won't be able to separate them.&#10;Are you sure?	Client/UIInfoData	high	JP↔EN same record ID
36009	場所及びワールド	Location	Client/UIInfoData	high	JP↔EN same record ID
26078	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
26099	アイテム	Inventory	Client/UIInfoData	high	JP↔EN same record ID
28031	カウリ	Kauri	Client/UIInfoData	high	JP↔EN same record ID
30013	ボーナス対象クエスト達成数	Quests Completed	Client/UIInfoData	high	JP↔EN same record ID
37019	メンバー募集	Recruiting	Client/UIInfoData	high	JP↔EN same record ID
47000	プレビュー	Preview	Client/UIInfoData	high	JP↔EN same record ID
36013	報告対象（必須）	Name (Required)	Client/UIInfoData	high	JP↔EN same record ID
21027	ナウシズ	Nauthiz	Client/UIInfoData	high	JP↔EN same record ID
52013	御魂タイプ	M-Type	Client/UIInfoData	high	JP↔EN same record ID
23074	倉庫８	Depo 8	Client/UIInfoData	high	JP↔EN same record ID
23025	倉庫１	Depo 1	Client/UIInfoData	high	JP↔EN same record ID
31139	魔装術	Tarot Fusion	Client/UIInfoData	high	JP↔EN same record ID
37062	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
22000	悪魔倉庫リスト	Demon Depository List	Client/UIInfoData	high	JP↔EN same record ID
21033	ウィアド	Wyrd	Client/UIInfoData	high	JP↔EN same record ID
22044	レンタル悪魔倉庫４	Rental Demon Depot 4	Client/UIInfoData	high	JP↔EN same record ID
21009	リユニオンタイプを&#10;選択してください。	Select a Growth Type.	Client/UIInfoData	high	JP↔EN same record ID
35000	ブラックリスト	Blacklist	Client/UIInfoData	high	JP↔EN same record ID
18110	実行	Execute	Client/UIInfoData	high	JP↔EN same record ID
18016	エオー	Fehu	Client/UIInfoData	high	JP↔EN same record ID
36000	違反報告	Violation Report	Client/UIInfoData	high	JP↔EN same record ID
31179	スロット１：	Slot 1:	Client/UIInfoData	high	JP↔EN same record ID
53003	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
12011	リセット	Reset	Client/UIInfoData	high	JP↔EN same record ID
26013	アイテム名６７８９０１２３４５６	Item name６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
21031	シーグル	Sowilo	Client/UIInfoData	high	JP↔EN same record ID
30003	ＰＣ強化	Player Enhancement	Client/UIInfoData	high	JP↔EN same record ID
37035	コメント５６７８９０１２３４５６	Comment５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
16010	参加しない	Decline	Client/UIInfoData	high	JP↔EN same record ID
37087	次＞	Next ->	Client/UIInfoData	high	JP↔EN same record ID
26077	所持品確認	View Inventory	Client/UIInfoData	high	JP↔EN same record ID
37011	クラン	Clan	Client/UIInfoData	high	JP↔EN same record ID
17028	エイワズ	Eihwaz	Client/UIInfoData	high	JP↔EN same record ID
31034	対象	Valid Targets	Client/UIInfoData	high	JP↔EN same record ID
23006	倉庫終了	Close All	Client/UIInfoData	high	JP↔EN same record ID
22030	レンタル悪魔倉庫２	Rental Demon Depot 2	Client/UIInfoData	high	JP↔EN same record ID
34005	はい	Yes	Client/UIInfoData	high	JP↔EN same record ID
17012	ペオース	Peorth	Client/UIInfoData	high	JP↔EN same record ID
23060	倉庫６	Depo 6	Client/UIInfoData	high	JP↔EN same record ID
21050	必要マッカ	Macca Cost	Client/UIInfoData	high	JP↔EN same record ID
28040	勢力状況	The Balance of Power	Client/UIInfoData	high	JP↔EN same record ID
36005	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
46011	クローゼット登録	Register to Closet	Client/UIInfoData	high	JP↔EN same record ID
23039	倉庫３	Depo 3	Client/UIInfoData	high	JP↔EN same record ID
31022	各種ステータス	Various Information (Only Relevant Sections Lit)	Client/UIInfoData	high	JP↔EN same record ID
31093	使用期限	Expiration Date	Client/UIInfoData	high	JP↔EN same record ID
31173	スロット４：	Slot 4:	Client/UIInfoData	high	JP↔EN same record ID
31100	基本性能	Basic Features	Client/UIInfoData	high	JP↔EN same record ID
28076	クルースニク	Kresnik	Client/UIInfoData	high	JP↔EN same record ID
21017	エイワズ	Eihwaz	Client/UIInfoData	high	JP↔EN same record ID
47009	リセット	Reset	Client/UIInfoData	high	JP↔EN same record ID
31085	LNC制限	Alignment	Client/UIInfoData	high	JP↔EN same record ID
1014	成功率	Success rate	Client/UIInfoData	high	JP↔EN same record ID
20016	エオー	Fehu	Client/UIInfoData	high	JP↔EN same record ID
22001	悪魔倉庫リスト	Demon Depository List	Client/UIInfoData	high	JP↔EN same record ID
18008	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
21015	エオー	Fehu	Client/UIInfoData	high	JP↔EN same record ID
31176	スロット５：	Slot 5:	Client/UIInfoData	high	JP↔EN same record ID
28000	ペンタルファ	Pentalpha	Client/UIInfoData	high	JP↔EN same record ID
12025	やめる	Stop	Client/UIInfoData	high	JP↔EN same record ID
20022	ハガラズ	Hagalaz	Client/UIInfoData	high	JP↔EN same record ID
18014	ペオース	Peorth	Client/UIInfoData	high	JP↔EN same record ID
20032	シーグル	Sowilo	Client/UIInfoData	high	JP↔EN same record ID
22023	レンタル悪魔倉庫１	Rental Demon Depot 1	Client/UIInfoData	high	JP↔EN same record ID
31097	基本情報	Basic Information	Client/UIInfoData	high	JP↔EN same record ID
28088	インドラジット	Indrajit	Client/UIInfoData	high	JP↔EN same record ID
31042	他人の仲魔	Other's Demon	Client/UIInfoData	high	JP↔EN same record ID
28003	個人情報	Personal Information	Client/UIInfoData	high	JP↔EN same record ID
30021	コード名	Code	Client/UIInfoData	high	JP↔EN same record ID
28106	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
30001	クエストボーナス	Quest Completion Bonuses	Client/UIInfoData	high	JP↔EN same record ID
26076	交換する	Exchange	Client/UIInfoData	high	JP↔EN same record ID
37047	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
34008	必要マッカ	Macca Cost	Client/UIInfoData	high	JP↔EN same record ID
23000	アイテム倉庫リスト	Item Depository List	Client/UIInfoData	high	JP↔EN same record ID
37015	参加希望	Looking to Join	Client/UIInfoData	high	JP↔EN same record ID
28026	赤のべテル	Red Bethel	Client/UIInfoData	high	JP↔EN same record ID
48009	はい	Yes	Client/UIInfoData	high	JP↔EN same record ID
31156	デビルフォース	Demon Force	Client/UIInfoData	high	JP↔EN same record ID
18020	ウルズ	Uruz	Client/UIInfoData	high	JP↔EN same record ID
18045	セット効果	Mitama Set Bonuses	Client/UIInfoData	high	JP↔EN same record ID
37055	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
24003	初期化	Reset	Client/UIInfoData	high	JP↔EN same record ID
23046	倉庫４	Depo 4	Client/UIInfoData	high	JP↔EN same record ID
12010	適用	Apply	Client/UIInfoData	high	JP↔EN same record ID
20043	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
31026	消耗品	Consumables	Client/UIInfoData	high	JP↔EN same record ID
37084	コメント５６７８９０１２３４５６	Comment５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
37033	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
31038	ＰＴのみ	PT Members Only	Client/UIInfoData	high	JP↔EN same record ID
14000	ミッションガイド	Mission Guidance	Client/UIInfoData	high	JP↔EN same record ID
18000	御魂強化	Mitama Enhancement	Client/UIInfoData	high	JP↔EN same record ID
26121	アイテム	Inventory	Client/UIInfoData	high	JP↔EN same record ID
29015	開始NPC	Requester	Client/UIInfoData	high	JP↔EN same record ID
17002	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
31166	基本情報,性能,外見性能,説明,改造,エンチャント,調合補助,デビルフォース	Basic Info,Features,Set Bonus,Desc.,Mods,Enchantments,Mix Support,Demon Force	Client/UIInfoData	high	JP↔EN same record ID
18043	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
31136	スロット２：	Slot 2:	Client/UIInfoData	high	JP↔EN same record ID
36015	場所名を記入	Enter the location	Client/UIInfoData	high	JP↔EN same record ID
31063	共通	General Item Flags	Client/UIInfoData	high	JP↔EN same record ID
12024	履歴	History	Client/UIInfoData	high	JP↔EN same record ID
31032	自分	Self	Client/UIInfoData	high	JP↔EN same record ID
14003	退出	Exit	Client/UIInfoData	high	JP↔EN same record ID
24000	倉庫ウィンドウ編集	Depository Window Settings	Client/UIInfoData	high	JP↔EN same record ID
18022	ハガラズ	Hagalaz	Client/UIInfoData	high	JP↔EN same record ID
12031	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
45000	ヴァーチャルアピアランス設定	Virtual Appearance Configuration	Client/UIInfoData	high	JP↔EN same record ID
20028	ナウシズ	Nauthiz	Client/UIInfoData	high	JP↔EN same record ID
39012	チャンス拡大アイテムを選択	Select a Chance Booster	Client/UIInfoData	high	JP↔EN same record ID
37077	コメント５６７８９０１２３４５６	Comment５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
26089	アイテム名６７８９０１２３４５６	Item name６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
25012	指定なし	Unspecified	Client/UIInfoData	high	JP↔EN same record ID
20046	必要マッカ	Macca Cost	Client/UIInfoData	high	JP↔EN same record ID
22066	レンタル悪魔倉庫７	Rental Demon Depot 7	Client/UIInfoData	high	JP↔EN same record ID
24006	倉庫名変更	Depository Name	Client/UIInfoData	high	JP↔EN same record ID
36020	指定なし	Unspecified	Client/UIInfoData	high	JP↔EN same record ID
20030	イング	Ingwaz	Client/UIInfoData	high	JP↔EN same record ID
23005	検索	Search	Client/UIInfoData	high	JP↔EN same record ID
52003	実行する	Execute	Client/UIInfoData	high	JP↔EN same record ID
37049	コメント&#10;５６７８&#10;９０１２&#10;３４５６	Comment&#10;５６７８&#10;９０１２&#10;３４５６	Client/UIInfoData	high	JP↔EN same record ID
12028	マニュアアイテム履歴	Manure Item History	Client/UIInfoData	high	JP↔EN same record ID
26176	アイテム	Inventory	Client/UIInfoData	high	JP↔EN same record ID
28099	現在所属中	Pledged To	Client/UIInfoData	high	JP↔EN same record ID
18018	エイワズ	Eihwaz	Client/UIInfoData	high	JP↔EN same record ID
22005	倉庫終了	Close All	Client/UIInfoData	high	JP↔EN same record ID
40002	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
37054	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
30043	取得する	Acquire	Client/UIInfoData	high	JP↔EN same record ID
31170	スロット３：	Slot 3:	Client/UIInfoData	high	JP↔EN same record ID
17004	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
26025	アイテム名６７８９０１２３４５６	Item name６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
20010	リユニオンタイプを&#10;選択してください。	Select a Growth Type.	Client/UIInfoData	high	JP↔EN same record ID
18024	ラグズ	Laguz	Client/UIInfoData	high	JP↔EN same record ID
51003	仲魔詳細	View Demon Information	Client/UIInfoData	high	JP↔EN same record ID
24002	決定	Save	Client/UIInfoData	high	JP↔EN same record ID
30046	取得する	Acquire	Client/UIInfoData	high	JP↔EN same record ID
18030	イング	Ingwaz	Client/UIInfoData	high	JP↔EN same record ID
20026	アンサズ	Ansuz	Client/UIInfoData	high	JP↔EN same record ID
18091	選択した御魂によって、&#10;&#10;1種のパラメータがランダムで付与されます。	Depending on the Mitama you use for enhancement, one of the demon's ability scores will be improved.	Client/UIInfoData	high	JP↔EN same record ID
18096	御魂を選択してください	Choose a Mitama	Client/UIInfoData	high	JP↔EN same record ID
37006	閲覧したい項目を選択してください。	Please select the entry you would like to view.	Client/UIInfoData	high	JP↔EN same record ID
40011	アイテム名６７８９０１２３４５６７&#10; ×99999	Item name６７８９０１２３４５６７&#10; ×99999	Client/UIInfoData	high	JP↔EN same record ID
36024	報告する	Report	Client/UIInfoData	high	JP↔EN same record ID
26037	アイテム名６７８９０１２３４５６	Item name６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
18039	状態	Status	Client/UIInfoData	high	JP↔EN same record ID
26143	アイテム	Inventory	Client/UIInfoData	high	JP↔EN same record ID
5002	プレゼント	Gift	Client/UIInfoData	high	JP↔EN same record ID
31081	売却	Sell	Client/UIInfoData	high	JP↔EN same record ID
16009	参加する	Participate	Client/UIInfoData	high	JP↔EN same record ID
37085	登録修正	Edit Registration	Client/UIInfoData	high	JP↔EN same record ID
21013	ペオース	Peorth	Client/UIInfoData	high	JP↔EN same record ID
31002	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
31044	影響	Affects	Client/UIInfoData	high	JP↔EN same record ID
25006	中分類	Type	Client/UIInfoData	high	JP↔EN same record ID
31040	仲魔	Demon	Client/UIInfoData	high	JP↔EN same record ID
32004	■基本性能が引き継がれる装備&#10;【継承内容】&#10;　・相性属性&#10;　・LNC属性制限&#10;　・GP制限&#10;　・エンチャント情報&#10;　・改造スロット情報	Basic Features Inheritance&#10; * Affinities&#10; * Alignment Restriction (if any)&#10; * Grade Points&#10; * Enchant Info&#10; * Modification Slots	Client/UIInfoData	high	JP↔EN same record ID
31129	改造素材効果	Modification Material Information	Client/UIInfoData	high	JP↔EN same record ID
28064	ミシャグジさま	Mishaguji-Sama	Client/UIInfoData	high	JP↔EN same record ID
46012	クローゼット登録解除	Delete from Closet	Client/UIInfoData	high	JP↔EN same record ID
37070	コメント５６７８９０１２３４５６	Comment５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
28037	先週の結果	Last Week's Results	Client/UIInfoData	high	JP↔EN same record ID
51019	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
37053	キャラ名５６７８９０１２３	Character's name５６７８９０１２３	Client/UIInfoData	high	JP↔EN same record ID
37069	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
25014	アイテム名	Item name	Client/UIInfoData	high	JP↔EN same record ID
31150	調合補助効果	Item Mix Support Effect	Client/UIInfoData	high	JP↔EN same record ID
20007	仲魔詳細	Demon Info	Client/UIInfoData	high	JP↔EN same record ID
37010	パーティ	Party	Client/UIInfoData	high	JP↔EN same record ID
31111	外見性能	Set Bonus Effect	Client/UIInfoData	high	JP↔EN same record ID
44004	キャンセル	Cancel	Client/UIInfoData	high	JP↔EN same record ID
21029	イング	Ingwaz	Client/UIInfoData	high	JP↔EN same record ID
26132	アイテム	Inventory	Client/UIInfoData	high	JP↔EN same record ID
22059	レンタル悪魔倉庫６	Rental Demon Depot 6	Client/UIInfoData	high	JP↔EN same record ID
37040	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
17044	ハガラズ	Hagalaz	Client/UIInfoData	high	JP↔EN same record ID
20024	ラグズ	Laguz	Client/UIInfoData	high	JP↔EN same record ID
28051	現在所属中	Pledged To	Client/UIInfoData	high	JP↔EN same record ID
17076	イング	Ingwaz	Client/UIInfoData	high	JP↔EN same record ID
30006	特殊コード	Special Codes	Client/UIInfoData	high	JP↔EN same record ID
36021	コメント	Comment	Client/UIInfoData	high	JP↔EN same record ID
37076	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
17000	御魂強化セット効果一覧	Mitama Set Bonus	Client/UIInfoData	high	JP↔EN same record ID
1018	アイテム名	Item name	Client/UIInfoData	high	JP↔EN same record ID
22052	レンタル悪魔倉庫５	Rental Demon Depot 5	Client/UIInfoData	high	JP↔EN same record ID
42004	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
31036	他人	Others	Client/UIInfoData	high	JP↔EN same record ID
18107	必要マッカ	Macca Cost	Client/UIInfoData	high	JP↔EN same record ID
1013	アイテム名	Item name	Client/UIInfoData	high	JP↔EN same record ID
19002	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
37048	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
2112	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
18090	御魂	Mitama	Client/UIInfoData	high	JP↔EN same record ID
28087	現在所属中	Pledged To	Client/UIInfoData	high	JP↔EN same record ID
35010	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
37017	メンバー募集	Recruiting	Client/UIInfoData	high	JP↔EN same record ID
1019	成功率	Success rate	Client/UIInfoData	high	JP↔EN same record ID
35006	登録者を削除する	Remove	Client/UIInfoData	high	JP↔EN same record ID
37075	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
37021	参加希望	Looking to Join	Client/UIInfoData	high	JP↔EN same record ID
20020	ウルズ	Uruz	Client/UIInfoData	high	JP↔EN same record ID
29002	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
30052	取得する	Acquire	Client/UIInfoData	high	JP↔EN same record ID
26179	欲しいものを選択してください。&#10;右クリックで詳細を表示します。	Please select the desired item.&#10;Right-click it to view details.	Client/UIInfoData	high	JP↔EN same record ID
32008	■特殊な引き継ぎ&#10;【継承内容】&#10;　・Lv制限&#10;　※三つの装備の内、&#10;　　最も制限の高いものが継承される	Special Inheritance&#10; * Level Requirement; the highest    level requirement among the   equipment involved is inherited.	Client/UIInfoData	high	JP↔EN same record ID
25002	取り出す	Take Out	Client/UIInfoData	high	JP↔EN same record ID
